Symbol,Series,Date,PrevClose,Open,High,Low,Last,Close,Average,Volume,Turnover,NoOfTrades,Deliverable,DeliveryPercent
LT,EQ,2025-03-13,3193.65,3202.25,3233.15,3178.05,3189.00,3187.3,3203.74,1414376,4531291301.85,83033,866126.0,61.24
LT,EQ,2025-03-17,3187.30,3190.0,3240.05,3159.0,3175.55,3173.45,3187.76,2805790,8944176882.1,122254,1805739.0,64.36
LT,EQ,2025-03-18,3173.45,3194.0,3278.65,3189.3,3271.00,3270.7,3248.31,2029984,6594015430.45,123494,1205472.0,59.38
LT,EQ,2025-03-19,3270.70,3275.0,3326.6,3268.5,3318.00,3319.55,3307.23,1616312,5345520793.35,88804,1155694.0,71.5
LT,EQ,2025-03-20,3319.55,3335.25,3358.9,3276.9,3352.50,3351.05,3327.53,2434722,8101621701.3,97496,1687515.0,69.31
LT,EQ,2025-03-21,3351.05,3357.0,3455.0,3332.75,3415.05,3415.95,3416.15,3042073,10392174228.35,145340,2062731.0,67.81
LT,EQ,2025-03-24,3415.95,3449.0,3517.0,3446.0,3483.05,3481.85,3483.78,1955564,6812754571.9,115273,1153502.0,58.99
LT,EQ,2025-03-25,3481.85,3505.0,3525.0,3435.35,3452.85,3469.6,3474.74,4235900,14718650807.85,174082,2886969.0,68.15
LT,EQ,2025-03-26,3469.60,3473.0,3496.8,3418.5,3451.00,3444.8,3458.66,2315715,8009267716.35,152200,1380214.0,59.6
LT,EQ,2025-03-27,3444.80,3460.0,3528.0,3451.0,3510.05,3501.6,3505.96,3467864,12158179075.0,171894,2139737.0,61.7
LT,EQ,2025-03-28,3501.60,3509.9,3514.0,3472.55,3488.00,3492.3,3490.61,1348143,4705836932.1,78826,805620.0,59.76
LT,EQ,2025-04-01,3492.30,3480.0,3501.6,3430.0,3438.30,3436.8,3451.17,1935147,6678517222.55,114580,1068906.0,55.24
LT,EQ,2025-04-02,3436.80,3433.0,3457.75,3408.0,3426.00,3419.9,3429.08,1338839,4590982045.3,73369,892450.0,66.66
LT,EQ,2025-04-03,3419.90,3400.0,3463.0,3393.0,3419.00,3420.15,3432.72,1200631,4121427952.2,84197,710175.0,59.15
LT,EQ,2025-04-04,3420.15,3400.0,3403.8,3237.3,3259.00,3260.15,3275.65,2366979,7753393787.4,156827,1446954.0,61.13
LT,EQ,2025-04-07,3260.15,3049.05,3090.6,2965.3,3087.00,3068.5,3047.00,4953864,15094428193.5,422707,2860181.0,57.74
LT,EQ,2025-04-08,3068.50,3124.95,3193.9,3092.7,3164.60,3161.1,3147.02,2877816,9056534927.0,140046,1155284.0,40.14
LT,EQ,2025-04-09,3161.10,3158.8,3158.8,3048.0,3062.00,3054.15,3083.63,4451381,13726393450.75,256046,3393437.0,76.23
LT,EQ,2025-04-11,3054.15,3114.0,3157.0,3100.15,3119.25,3115.95,3123.53,3979116,12428907356.35,132571,2981651.0,74.93
LT,EQ,2025-04-15,3115.95,3180.0,3272.0,3176.1,3259.00,3257.6,3247.57,2161492,7019590562.6,113498,1298477.0,60.07
LT,EQ,2025-04-16,3257.60,3270.0,3276.8,3224.1,3231.40,3227.7,3248.34,1578260,5126724530.2,112383,888042.0,56.27
LT,EQ,2025-04-17,3227.70,3214.1,3249.9,3162.4,3244.90,3247.3,3206.57,3209331,10290935838.2,168832,1769268.0,55.13
LT,EQ,2025-04-21,3247.30,3249.5,3290.0,3225.1,3279.90,3280.5,3273.52,1643003,5378395835.5,101664,913309.0,55.59
LT,EQ,2025-04-22,3280.50,3280.0,3285.0,3248.0,3254.00,3257.8,3266.83,2060322,6730718857.0,100788,1336329.0,64.86
LT,EQ,2025-04-23,3257.80,3275.4,3315.0,3266.7,3296.00,3301.0,3291.24,2381699,7838735592.4,103277,1436616.0,60.32
LT,EQ,2025-04-24,3301.00,3307.0,3307.0,3280.0,3298.20,3300.6,3293.25,1993448,6564919205.1,72609,1296467.0,65.04
LT,EQ,2025-04-25,3300.60,3310.0,3335.7,3230.1,3268.00,3272.1,3272.54,2004819,6560849672.9,133465,1201395.0,59.93
LT,EQ,2025-04-28,3272.10,3260.0,3350.8,3254.8,3325.00,3327.3,3317.89,1689485,5605519110.1,82707,943227.0,55.83
LT,EQ,2025-04-29,3327.30,3335.0,3376.4,3315.0,3321.30,3322.3,3338.97,1843861,6156587711.7,120139,1050758.0,56.99
LT,EQ,2025-04-30,3322.30,3324.0,3355.0,3303.3,3330.00,3341.0,3341.49,1930714,6451459506.3,113823,1314833.0,68.1
LT,EQ,2025-05-02,3341.00,3325.0,3374.9,3321.5,3324.00,3329.8,3347.85,1665574,5576084084.5,84477,923013.0,55.42
LT,EQ,2025-05-05,3329.80,3350.0,3350.0,3300.7,3332.00,3330.2,3324.66,1947332,6474212018.4,107073,1322685.0,67.92
LT,EQ,2025-05-06,3330.20,3346.0,3353.0,3302.8,3332.00,3334.0,3330.50,1695516,5646918314.4,96917,1004059.0,59.22
LT,EQ,2025-05-07,3334.00,3332.0,3339.8,3284.1,3327.00,3321.4,3318.68,2422707,8040179595.2,171780,1580441.0,65.23
LT,EQ,2025-05-08,3321.40,3310.1,3366.0,3299.8,3312.00,3323.9,3337.85,3204333,10695569358.9,129057,1850678.0,57.76
